id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5065,MAUKA BB,7257,Wayne,Hawaii,Hamakua,20.04095,-155.43251,Entire home/apt,85,2,42,2020-03-22,0.45,2,365
5269,Upcountry Hospitality in the 'Auwai Suite,7620,Lea & Pat,Hawaii,South Kohala,20.0274,-155.702,Entire home/apt,115,30,10,2020-03-01,0.09,4,261
5387,Hale Koa Studio & 1 Bedroom Units!!,7878,Edward,Hawaii,South Kona,19.43119,-155.88079,Entire home/apt,85,5,168,2020-03-18,1.29,3,263
5389,Keauhou Villa,7878,Edward,Hawaii,North Kona,19.56413,-155.96347,Entire home/apt,239,6,20,2020-03-22,0.24,3,266
5390,STAY AT PRINCE KUHIO!,7887,Todd,Kauai,Koloa-Poipu,21.88305,-159.47372,Entire home/apt,92,3,143,2020-08-10,1.02,1,66
5434,Kauai  Ocean View 3 Story Tiki Tower Princeville,7984,Ahlea,Kauai,North Shore Kauai,22.21972,-159.46958,Entire home/apt,290,2,107,2020-03-16,0.79,2,306
7896,Beachfront Maui Sunset Condo,21844,Caroline,Maui,Kihei-Makena,20.7547,-156.45666,Entire home/apt,120,4,28,2018-05-11,0.23,1,352
8833,Stay in the Heart of Kona,21349,Noah,Hawaii,North Kona,19.60709,-155.97424,Entire home/apt,98,3,230,2020-07-09,1.85,1,210
9877,Keolamauloa Homestead,33179,Kaye,Hawaii,Hamakua,20.02889,-155.40747,Entire home/apt,120,3,28,2020-02-03,0.49,1,1
13238,Studio On Princeville  Golf Course / Paniolo Condo,51647,Annie/Greg,Kauai,North Shore Kauai,22.21961,-159.46998,Entire home/apt,129,3,112,2020-03-04,1.48,2,323
13523,"All Inclusive that has it all, Sleeps 8, Hot Tub",52931,Mark,Honolulu,Koolaupoko,21.3393,-157.70216,Entire home/apt,250,30,24,2020-03-01,0.43,11,317
13527,Romantic Ocean Front,52967,Beth,Hawaii,North Kona,19.61421,-155.98302,Entire home/apt,169,7,7,2020-01-06,0.15,1,130
13653,Ocean View Jacuzzi suite - 5min walk to Beach,53489,Maui Garden Oasis,Maui,Lahaina,20.90087,-156.68327,Private room,170,3,101,2020-07-27,2.09,7,319
13688,Oceanfront Bali Cottage w/  Hot tub @ Kehena Beach,53657,Iliahi J.,Hawaii,Puna,19.39402,-154.9306,Entire home/apt,133,3,130,2020-09-06,1.03,2,195
13799,Luana Kai Oceanfront Condo by Owner,54237,Donald,Maui,Kihei-Makena,20.75874,-156.4567,Entire home/apt,100,2,127,2020-03-19,1.02,1,273
13899,DELUXE OCEAN FRONT View Condo Kaanapali Beach Club,54660,Dennis,Maui,Lahaina,20.94837,-156.69075,Entire home/apt,316,7,12,2019-09-08,0.31,15,27
13900,Main Lodge at Hawaiian Retreat,54663,Janelle,Hawaii,Puna,19.52052,-154.84522,Entire home/apt,75,3,108,2020-08-01,1.49,5,309
13901,Nature Cottage at Hawaiian Retreat,54663,Janelle,Hawaii,Puna,19.52348,-154.84686,Entire home/apt,55,3,140,2020-07-22,1.95,5,322
13933,Volcano Forest Escape 3BDRM Rental House,54814,Greg,Hawaii,Puna,19.43448,-155.22177,Entire home/apt,123,1,42,2020-03-16,0.80,1,355
14512,"AC&AIR PURIF Unobstructed Ocean front, Princeville",53363,Tarek,Kauai,North Shore Kauai,22.22291,-159.49495,Entire home/apt,399,3,4,2019-08-13,0.04,4,271
14513,"AC&AIR PURIF Unobstructed Ocean front, Princeville",53363,Tarek,Kauai,North Shore Kauai,22.22291,-159.49495,Entire home/apt,399,3,8,2019-11-09,0.07,4,276
14514,"AC Gorgeous Ocean Front Condo, Poipu",53363,Tarek,Kauai,Koloa-Poipu,21.87066,-159.44809,Entire home/apt,399,3,26,2020-03-23,0.26,4,300
15648,Cute Hale Sugar Shack 2,12729,Kelly,Hawaii,South Kona,19.45944,-155.88244,Entire home/apt,110,5,63,2020-09-01,0.54,3,226
15757,STEPS TO THE BEACH 1 BEDROOM CONDO,61673,Sofia,Maui,Lahaina,20.95466,-156.68706,Entire home/apt,90,3,202,2020-07-20,1.65,1,314
16914,2 BdRm - Cozy Condo near Kaanapali!,65594,Kevin,Maui,Lahaina,20.95486,-156.68415,Entire home/apt,128,5,65,2019-11-16,0.60,1,178
18465,"Ocean Escape, Your Perfect Spot!",71120,Mike And Nicky,Honolulu,Primary Urban Center,21.27508,-157.82213,Entire home/apt,145,14,72,2020-03-08,0.59,5,243
18466,Mountain Retreat. Affordable Luxury,71120,Mike And Nicky,Honolulu,Primary Urban Center,21.2737,-157.8217,Entire home/apt,147,7,69,2020-08-09,0.56,5,297
20065,Secluded Tropical Hideaway at South Kona Coffee !!,53836,Brad & Linda,Hawaii,South Kona,19.26744,-155.87614,Entire home/apt,95,30,50,2020-03-08,0.41,6,1
20562,"""Peacock"" Studio w/FREE Parking & Full Kitchen",77633,Tom,Honolulu,Primary Urban Center,21.27977,-157.82627,Entire home/apt,59,1,12,2020-09-17,0.17,6,3
