id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
57818,Private house close to the beach!,275948,VonJon,,Hollywood,26.0167,-80.12437,Entire home/apt,146,2,41,2020-03-09,0.43,1,361
69824,2 bd/2ba Oceanfront Condo,351303,Tracy,,Hallandale Beach,25.9784,-80.12028,Entire home/apt,100,30,7,2020-03-01,0.20,2,0
83449,MARY POP APTS 2/1 APT SLEEP 5,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,99,7,20,2020-01-26,0.18,8,314
86410,GREAT STUDIO FEW BLOCKS TO THE BEACH,474053,Estela And Adriana,,Hallandale Beach,25.98672,-80.12629,Entire home/apt,69,3,55,2019-01-30,0.48,1,365
105411,House in the Ranches,532930,Sonia,,Southwest Ranches,26.04678,-80.36809,Entire home/apt,235,4,5,2018-03-28,0.05,1,355
129061,MIAMI - LUXURY APARTMENT OVER BEACH,637272,Bianca,,Hollywood,25.99332,-80.11887,Entire home/apt,250,20,20,2019-04-08,0.20,6,0
129099,MIAMI - AMAZING APARTMENT OCEANVIEW,637272,Bianca,,Hollywood,25.99416,-80.11969,Entire home/apt,250,18,30,2020-02-05,2.47,6,0
183714,"CODY PLACE 15 minutes from the Beach and Stadium",881264,Carlene,,Hollywood,26.0383,-80.23558,Entire home/apt,199,15,10,2020-02-16,0.17,3,34
191160,Tropical Beach Paradise Awaits You,924482,Dan,,Deerfield Beach,26.30707,-80.07793,Entire home/apt,119,2,25,2019-11-08,0.23,1,180
216046,The Ultimate Family Vacation Home  w/Dual Masters!,964836,Gary,,Hollywood,26.00746,-80.19631,Entire home/apt,275,2,45,2020-10-04,0.42,1,278
217990,COSY APT OVER THE BEACH,637272,Bianca,,Hollywood,25.9942,-80.11725,Entire home/apt,160,10,20,2018-06-23,0.28,6,0
229773,Gorgeous Private Las Olas-Idlewyld Home,1097874,Paul,,Fort Lauderdale,26.11784,-80.11059,Entire home/apt,321,3,70,2020-10-19,1.30,1,4
240409,"Ocean View Condo, Pompano Beach",1235314,Felix,,Pompano Beach,26.24347,-80.08914,Entire home/apt,175,7,0,,,1,365
241944,MARY POP APARTMENTS #203,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,78,7,9,2016-06-17,0.09,8,365
