id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12899,"Alberta Arts 2 bedroom suite, charming 1906 house",49682,Ali And David,,Concordia,45.56488,-122.63418,Entire home/apt,75,2,551,2020-10-19,4.21,1,310
18130,Charming Roseway Bungalow,69824,Katie,,Roseway,45.55342,-122.58002,Entire home/apt,95,3,0,,,1,12
29931,Lovely SW Victorian w/Bonus Room and Hot Tub,79786,Ken,,Hayhurst,45.48278,-122.72089,Entire home/apt,200,2,53,2019-08-31,0.42,2,145
37676,Mt. Hood View in the Pearl District,162158,Paul,,Pearl,45.52555,-122.68193,Entire home/apt,100,30,123,2019-10-11,0.98,1,331
39938,Friendly Guesthouse / 10 Min to Airport & Downtown,171371,Sarah,,Woodlawn,45.57428,-122.64594,Private room,59,30,274,2019-11-18,4.00,1,68
41601,Grandpa's Bunkhouse-Backyard Studio,179045,Jean,,Roseway,45.54935,-122.58425,Entire home/apt,169,3,226,2020-09-05,1.82,2,365
45890,Auntie's Hideaway--Daylight Downstairs Studio,179045,Jean,,Roseway,45.54889,-122.58554,Entire home/apt,129,3,191,2020-09-11,1.68,2,365
61893,Perfect Portland Place,300391,Matt,,Goose Hollow,45.52258,-122.69955,Entire home/apt,120,30,10,2020-08-31,0.21,1,341
65466,Mt. Tabor Bungalow,170035,Scott,,Mt. Tabor,45.50661,-122.60892,Private room,60,2,158,2020-03-08,1.80,1,362
66944,"Hip, Lively Neighborhood, Spacious Apt.",329173,Kevin,,Boise,45.55078,-122.67492,Entire home/apt,189,2,263,2020-10-19,2.24,1,360
67036,Historic Home Located in Central City,329777,Will,,Sullivan's Gulch,45.53195,-122.64483,Entire home/apt,425,4,31,2020-02-27,0.26,1,296
77522,"Charming Eastmoreland Suite, Pets Okay,  Hot Tub",345461,Diane,,Eastmoreland,45.47086,-122.63273,Private room,35,2,84,2020-03-16,0.79,1,297
93613,Sunny Queen Room FUN Alberta Arts,501715,Teresa,,Sabin,45.55536,-122.65106,Private room,31,30,63,2020-01-18,0.57,5,365
94500,Room in Vintage Alberta Bungalow,499386,James,,Beaumont-Wilshire,45.55748,-122.63038,Private room,60,2,169,2019-10-14,1.47,1,90
95313,Warm + Cozy Apt nr Dining/Alberta/Bus,507756,Andrée,,Woodlawn,45.5737,-122.65064,Entire home/apt,70,1,491,2020-10-15,4.27,3,68
95557,Egregiously SE Portland - Clinton,51949,Amy,,Hosford-Abernethy,45.50456,-122.64693,Entire home/apt,175,2,203,2020-02-22,1.77,1,294
99355,Beautiful Apt near City Center!,523311,Mark,,Irvington,45.53895,-122.65156,Entire home/apt,175,1,183,2020-10-18,1.73,2,307
114086,Bright Friendly Home- Alberta Arts,501715,Teresa,,Sabin,45.55593,-122.65029,Private room,30,30,65,2019-09-01,0.57,5,157
115681,Piedmont Cottage on Peninsula Park,585047,Heather & Topher,,Piedmont,45.56741,-122.67257,Entire home/apt,55,30,265,2020-09-16,2.33,3,289
117969,Beautiful Newly-Remodeled Apartment,589016,Steve,,Sunnyside,45.51209,-122.63315,Entire home/apt,101,2,218,2020-10-19,3.31,1,150
131088,Second floor garden apartment,2513602,Jeannette,,Cully,45.56028,-122.6171,Entire home/apt,85,2,68,2020-07-12,0.78,2,296
143483,Garden Hideaway near City Center!,523311,Mark,,Irvington,45.54029,-122.65006,Entire home/apt,99,1,118,2020-10-11,1.08,2,316
145199,"Upstairs, studio with bath, fridge",683139,Amy,,Montavilla,45.53008,-122.59075,Private room,65,3,75,2020-08-24,0.66,1,364
182450,"Luminous, Cosy Home near lively SE Division Street",52505,Judy,,Richmond,45.50522,-122.63277,Entire home/apt,77,7,24,2020-09-07,0.25,2,30
182465,Great Breakfast next to lively Division St,52505,Judy,,Richmond,45.50754,-122.63268,Private room,50,2,320,2020-02-23,2.85,2,30
195632,Foodie's Paradise & Everyone's Playground!,659137,Anjali,,Boise,45.5528,-122.67729,Entire home/apt,89,5,81,2020-09-13,0.72,1,87
199683,"Authentic Portland Flavor, Central!",975606,Leo,,Rose City Park,45.54419,-122.60362,Private room,49,30,43,2019-09-07,0.42,3,345
205616,Entire Home + Cottage • A Painted Lady Inn • 6 Bed,1011157,Jody,,Irvington,45.53689,-122.64977,Entire home/apt,496,1,81,2020-01-03,1.20,7,267
217607,One Bedroom Artists Loft - Close to EvErYtHiNg,971012,Echo,,Old Town/Chinatown,45.52653,-122.67513,Entire home/apt,145,14,49,2020-09-30,0.44,1,320
218708,"Amazing Location in NE, Opal 28 - King Suite #3",6313800,Margot,,Kerns,45.52184,-122.63538,Entire home/apt,70,2,180,2020-08-31,10.00,8,0
222298,"Blues,brews,and bicycle guesthouse",1153902,Taizz,,Overlook,45.55821,-122.69223,Private room,65,2,95,2019-10-07,0.86,3,178
231732,"large, sunny room in farmhouse",1153902,Taizz,,Overlook,45.55816,-122.69143,Private room,65,30,45,2020-01-29,0.45,3,362
231734,"Private, sunny room in farmhouse",1153902,Taizz,,Overlook,45.55771,-122.68994,Private room,65,2,30,2020-02-21,0.28,3,328
236108,Large COMFY Room in Alberta Arts,501715,Teresa,,Sabin,45.55645,-122.64854,Private room,30,30,58,2019-10-01,0.56,5,296
259912,"Private ENTRY-BATH-TWO BEDS/deck, river views-WOW!",1362006,Gracie And David,,Cathedral Park,45.59228,-122.76218,Private room,55,2,97,2020-07-05,1.23,1,63
267409,Pretty SW  Garden Apt. w Hot Tub,79786,Ken,,Hayhurst,45.48256,-122.71935,Entire home/apt,100,31,8,2016-02-01,0.08,2,329
293584,Venue/Event Space : UNION/PINE,1511460,Summer + Patrick,,Buckman,45.52046,-122.66132,Entire home/apt,750,1,12,2012-10-24,0.11,1,358
295694,Rustic Tiny Home w Sleeping Loft in hip Woodlawn,507756,Andrée,,Woodlawn,45.57237,-122.65012,Entire home/apt,69,1,476,2020-07-17,4.84,3,52
296946,Opal 28 an Intimate Event Space in NE PDX,6313800,Margot,,Kerns,45.52795,-122.63692,Entire home/apt,675,1,1,2014-01-29,0.01,8,365
306961,Northwest Portland Urban Retreat,918850,Nancy,,Northwest District,45.53232,-122.70799,Private room,95,7,8,2016-09-26,0.08,2,365
317797,Condo in the Courtyard,828435,Furnished In Portland,,Mt. Tabor,45.51203,-122.61079,Entire home/apt,68,30,32,2020-07-31,0.31,6,170
332585,Mt. Tabor private apt in ideal SE location,1488233,Dina,,Mt. Tabor,45.51458,-122.60959,Entire home/apt,51,2,330,2020-09-13,3.25,1,0
345650,GUEST SUITE SURROUNDED BY NATURE,38860,Renata,,Hayhurst,45.4802,-122.71844,Entire home/apt,75,2,102,2020-10-18,1.01,1,244
357732,"Cheerful, musical, eclectic home",1810476,Susan,,Multnomah,45.46604,-122.71599,Private room,34,30,28,2020-09-04,0.27,2,338
362775,Japanese cabin + in fine-dining village,1213257,Dayna,,Concordia,45.56274,-122.63444,Entire home/apt,125,2,217,2020-10-14,2.08,3,343
383701,Sellwood Music Suite,1405118,Dave & Silke,,Sellwood-Moreland Improvement League,45.46846,-122.65395,Entire home/apt,86,2,271,2020-10-16,2.60,1,345
386687,The Heart of Multnomah Village,532509,Maria & Kenyon,,Multnomah,45.4692,-122.71497,Entire home/apt,120,2,150,2020-10-22,2.93,1,0
399890,S.W. Portland Farmhouse Cottage,1996078,Sally K,,Marshall Park,45.45704,-122.69185,Entire home/apt,185,3,81,2020-06-01,0.90,3,296
402130,"Newly Renovated & Cozy, Opal 28 Queen Suite #1",6313800,Margot,,Kerns,45.52968,-122.63429,Entire home/apt,70,2,151,2020-09-16,1.47,8,161
402191,"Vintage Meets Modern, Opal 28 King Suite #4",6313800,Margot,,Kerns,45.52502,-122.63497,Entire home/apt,71,2,214,2020-10-21,2.07,8,138
408577,Eclectic cottage & bath house/SE Portland,2034859,Ruby,,Richmond,45.50775,-122.61763,Entire home/apt,68,2,53,2019-10-01,0.51,2,80
448195,Quality Comfort Beautiful 1915 Craftsman,2226037,Bruce,,Rose City Park,45.54767,-122.61339,Entire home/apt,240,3,195,2020-10-17,1.89,2,344
449461,"Portland Soul, Central! Porch Time!",975606,Leo,,Rose City Park,45.54386,-122.60396,Private room,35,30,37,2020-10-17,0.37,3,364
450488,Alberta Arts Room Overlooking Verdant Backyard,2236909,Shane,,King,45.56024,-122.65851,Private room,55,30,101,2020-09-10,0.99,6,359
450660,Perfectly Cozy Alberta Arts Room,2236909,Shane,,King,45.56174,-122.65817,Private room,55,30,93,2020-10-16,0.94,6,328
457627,concordia/alberta sunshine cabin,2274595,Rachel And Joe,,Concordia,45.56244,-122.63756,Entire home/apt,89,2,298,2020-06-24,2.94,1,0
483487,Sellwood-Near Parks and the River,434208,Jim,,Sellwood-Moreland Improvement League,45.46721,-122.65626,Private room,42,3,273,2020-09-29,2.67,1,298
496270,Great Location! Great for Kids!,2451547,"Dave, And Caleb",,Concordia,45.56497,-122.63118,Private room,89,1,51,2019-08-03,0.51,1,365
522334,A sunny separate studio w/skylights,19234,Scott,,Sellwood-Moreland Improvement League,45.474,-122.64379,Entire home/apt,75,3,387,2020-10-10,3.84,1,288
525395,Fantastic Bungalow with Hot Tub close to Downtown,2555917,Thomas,,South Portland,45.47161,-122.67427,Entire home/apt,313,2,14,2020-07-05,0.16,1,11
531553,"Farm in the City, Mississippi dist.",1601890,Janie And Ginnie,,Boise,45.55327,-122.66941,Entire home/apt,100,7,292,2020-10-03,2.90,1,80
539224,Skylight Delight,828435,Furnished In Portland,,Mt. Tabor,45.51215,-122.61085,Private room,40,30,20,2020-02-12,0.36,6,0
543988,Quaint English Cottage Garden Private Apt.,40759,Sue And Bob,,Laurelhurst,45.52417,-122.61865,Entire home/apt,78,2,238,2020-10-21,2.36,1,305
548557,NE  Concordia Cabin,2696498,Matt,,Concordia,45.56986,-122.63178,Entire home/apt,99,2,114,2020-07-08,1.14,1,363
557802,Lovely Studio in the Heart of NW/Pearl,2742604,Brad,,Northwest District,45.52486,-122.69103,Entire home/apt,114,30,600,2020-01-25,5.95,1,0
557948,"Pretty house, perfect location, EV-friendly",2690880,Randy,,Hosford-Abernethy,45.50895,-122.64438,Entire home/apt,614,2,14,2019-08-03,0.18,1,88
569209,Mt Tabor Retreat Full Bath Ensuite,2790349,Andrea,,Mt. Tabor,45.51161,-122.60383,Private room,61,1,320,2020-06-14,3.18,1,296
573264,"Large 2B Apt, central NW district",2820851,NW Portland Hostel,,Northwest District,45.52582,-122.68904,Entire home/apt,156,1,70,2020-02-17,0.70,10,104
580155,NE Portland Oregon Modern Victorian Duplex,2854451,Julie,,Eliot,45.53972,-122.66251,Entire home/apt,110,4,24,2020-10-22,0.24,1,339
581518,Mississippi Ave Apartment w/Bikes!,2862629,Cee,,Boise,45.54803,-122.6722,Entire home/apt,128,4,282,2020-10-03,2.81,1,206
584676,NW Portland Condo on Street Car Line,2881063,Kevin,,Northwest District,45.52783,-122.69284,Entire home/apt,85,30,71,2020-08-16,0.70,1,86
596389,Garden Oasis Guest House,2948538,Colin And Medina,,Sabin,45.55148,-122.65485,Entire home/apt,65,3,322,2020-10-13,3.20,3,17
598726,"Super Clean, Disinfected, Long-Term Stays, Hot Tub",2023418,Gary,,Piedmont,45.56686,-122.66357,Entire home/apt,288,1,100,2020-10-20,1.13,1,139
600976,SW 2 Bedroom/Private Bath - SUPER CLEAN,2974150,Shannon,,South Burlingame,45.46514,-122.68619,Private room,100,1,260,2020-09-25,2.59,2,365
611417,Victorian home walk to Lloyd & Convention Center,1011157,Jody,,Irvington,45.53644,-122.65005,Private room,72,1,50,2020-03-16,1.41,7,0
611454,"Walk to Pearl, Moda, Lloyd & Convention Center",1011157,Jody,,Irvington,45.53661,-122.65042,Private room,81,1,19,2020-08-27,0.64,7,0
611458,"Walk to Pearl, Moda, Lloyd & Convention Center",1011157,Jody,,Irvington,45.53597,-122.65096,Entire home/apt,127,1,38,2020-08-30,1.20,7,90
611464,"Walk to Pearl, Moda, Lloyd & Convention Centers",1011157,Jody,,Irvington,45.53799,-122.65025,Private room,74,1,12,2020-07-19,0.19,7,90
611469,"Walk to Pearl, Moda, Lloyd & Convention Center",1011157,Jody,,Irvington,45.53645,-122.65045,Private room,81,1,48,2020-08-23,1.11,7,90
633385,Sweet Room in Charming Central SW Home SUPER CLEAN,2974150,Shannon,,Hillsdale,45.47134,-122.68611,Private room,75,2,213,2020-03-19,2.16,2,365
635432,Spacious SW Portland 1 bd Apartment,3166372,Alexandra,,Bridlemile,45.49028,-122.72214,Entire home/apt,99,2,88,2019-10-07,0.88,1,297
637011,"Eclectic, cheerful, musical home",1810476,Susan,,Multnomah,45.46554,-122.71443,Private room,45,30,16,2017-11-12,0.16,2,287
637362,"Quaint & Cozy, Private Sellwood Guest House",869146,Gina And Andy,,Sellwood-Moreland Improvement League,45.46563,-122.65573,Entire home/apt,79,3,250,2020-10-19,2.65,1,255
639236,West/Near DT/Large Bedroom/Private Bath/Peaceful.,3190134,Jenna,,Hillsdale,45.4864,-122.69274,Private room,57,30,18,2017-08-26,0.20,4,365
646263,Ashley's charmer just off SE Division near cafes,2965830,Ashley,,Richmond,45.50647,-122.63572,Private room,55,1,486,2020-01-13,4.88,2,296
658883,Food Lovers Dream in Designer House,11306724,Adam,,King,45.54964,-122.6631,Private room,92,2,144,2019-08-26,1.45,1,296
674866,Fantastic Loft in the Pearl (short or long term),1731137,Stephanie,,Pearl,45.52614,-122.68224,Entire home/apt,135,30,10,2020-02-08,0.37,2,323
687927,"Heart on Hawthorne ,  SE Portland",3425231,Kit,,Sunnyside,45.51333,-122.62176,Private room,40,7,154,2020-08-31,1.57,1,270
692488,Classic Northwest Villa,3541177,Jerry,,Hillside,45.52753,-122.70685,Entire home/apt,100,2,356,2020-08-23,3.61,1,21
696955,Alberta Arts House - Hip Portlandia,3569549,Ash,,Sabin,45.55698,-122.64758,Entire home/apt,199,2,109,2020-05-01,1.11,1,80
699605,Adorable Alberta Arts Bungalow,2605790,Amanda & Sebastien,,King,45.56436,-122.65724,Entire home/apt,129,15,45,2019-10-21,0.46,1,296
699667,Old Portland Style 2 Story House,3589314,Nicole,,Sellwood-Moreland Improvement League,45.46818,-122.65251,Private room,65,2,90,2020-01-12,1.14,1,0
700371,Adorable historic home in Foodie Wonderland,2965830,Ashley,,Hosford-Abernethy,45.50689,-122.6359,Entire home/apt,175,30,57,2019-12-26,0.63,2,0
704753,Near OHSU. Clean Bonus Room w Shared Bath.,3190134,Jenna,,Hillsdale,45.48893,-122.69249,Private room,46,30,10,2018-07-16,0.11,4,365
714773,ArtFulLife,1186353,Fred,,Northwest District,45.52837,-122.69799,Entire home/apt,50,30,126,2020-08-10,1.30,2,337
715685,"North East Alberta Arts Queen Size w/Memory Foam",2200710,Laurent,,King,45.55871,-122.65823,Private room,45,3,468,2020-03-01,6.16,3,52
717084,Near OHSU! Pristine Bdrm/Private Vanity/Close-In,3190134,Jenna,,Hillsdale,45.48694,-122.69223,Private room,40,30,7,2017-08-25,0.08,4,365
748584,Modern House with Japanese Garden,3092836,Morgan,,South Burlingame,45.46622,-122.68864,Private room,50,1,54,2020-03-20,0.60,1,21
760737,Remodeled basement studio in central Portland,2646777,Kyle,,Buckman,45.5203,-122.64255,Entire home/apt,80,2,114,2020-10-06,4.11,1,244
762386,"Urban treehouse in Portland, OR! - 1 bedroom",416155,Brad & Becca,,Woodstock,45.48988,-122.62084,Private room,60,2,811,2020-10-23,8.38,1,355
