id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11464,Deluxe Studio 5 min.  to SC Kaiser & Apple Park,42458,Emey,,Santa Clara,37.34342,-121.98829,Entire home/apt,75,14,6,2019-10-11,0.08,14,153
21373,Bonsai Garden Inn in Professorville,7054,Mei Lin,,Palo Alto,37.44001,-122.15667,Private room,80,2,264,2020-03-14,2.08,4,297
62799,Zen Office and Sofa in Palo Alto,7054,Mei Lin,,Palo Alto,37.43925,-122.15617,Private room,100,7,148,2020-03-18,1.91,4,297
75284,Garden Room Oasis Walk to Stanford,7054,Mei Lin,,Palo Alto,37.44157,-122.15553,Private room,85,2,206,2020-03-16,1.78,4,297
106365,"Luxurious & Quiet Home near Main St, Cupertino",551319,Judith,,Cupertino,37.32194,-122.00511,Entire home/apt,189,3,179,2020-05-31,1.60,1,212
118903,"Private Studio, Bath, Entrance @ House of Chauncey",600040,Rey,,Sunnyvale,37.38483,-122.03664,Private room,76,5,99,2020-10-18,0.87,1,166
134606,"Private Room, Cozy Home Downtown SJ",660433,Veronica,,San Jose,37.34756,-121.88922,Private room,70,1,184,2020-03-11,1.64,1,365
161873,Downtown MV perfection,19333,Aaron,,Mountain View,37.38991,-122.07949,Private room,150,2,170,2020-02-13,1.51,1,173
172259,Studio with a private bath and wet bar,821982,Grace,,Palo Alto,37.40463,-122.12548,Private room,55,2,6,2020-03-13,0.44,7,166
188047,Modern Private Mini Eichler Studio,905460,Christine,,Palo Alto,37.44707,-122.12655,Entire home/apt,70,7,93,2020-09-27,0.84,1,359
214303,PRIVATE & COZY GARDEN ROOM,174725,Megan,,Palo Alto,37.45371,-122.13727,Private room,120,30,58,2020-02-04,0.53,1,365
231717,B&B: Quiet Bedroom & Bathroom,1211619,Yael,,Santa Clara,37.34609,-121.98467,Private room,89,1,146,2018-01-25,1.39,1,364
241788,Santana Row Modern Condo / Flat (Super Host),1269205,Ginger & Ray,,San Jose,37.32072,-121.94718,Entire home/apt,179,27,129,2020-10-01,1.18,3,365
251163,Family-friendly condo near downtown,398213,Dave,,Mountain View,37.38374,-122.08171,Entire home/apt,150,300,0,,,1,362
253359,ytstyle private room #3 for rent,1330305,Yanting,,San Jose,37.29124,-121.97415,Private room,51,5,142,2020-09-12,1.30,3,86
253364,ytstyle private room #1,1330305,Yanting,,San Jose,37.29281,-121.97324,Private room,55,5,140,2019-12-24,1.38,3,309
300576,Private PA Cozy Quarters,1229021,Ying & Sherry,,Palo Alto,37.43775,-122.11942,Private room,80,5,89,2020-02-02,0.84,7,365
301971,Private Entry w/ Calif OrangeTrees,1229021,Ying & Sherry,,Palo Alto,37.40354,-122.12665,Private room,70,5,72,2019-11-30,0.68,7,365
307827,Lovely Private Garden Cottage,1169996,Marlene,,Palo Alto,37.43098,-122.1366,Entire home/apt,165,2,135,2020-03-05,1.27,1,364
310367,Comfortable Palo Alto home,1596454,Jochen,,Palo Alto,37.41,-122.13648,Entire home/apt,176,1,42,2019-07-11,0.57,1,89
310377,Little room in a little house/LOL. Littleoldlady,957234,Margaret,,Palo Alto,37.42816,-122.12957,Private room,125,2,57,2020-07-01,0.55,1,25
315339,Silicon Valley Victorian,1587385,Paul,,Saratoga,37.25092,-122.03673,Entire home/apt,318,14,10,2018-07-15,0.10,1,177
338075,COZY ROOM IN FAMILY HOME,1717096,Deb,,Mountain View,37.36937,-122.09511,Private room,60,30,48,2020-03-20,0.46,1,309
363117,SanJose/Campbell/Interns & Travelers Welcome (MBR),1835387,Mark,,San Jose,37.2756,-121.91251,Private room,39,14,27,2020-09-05,0.27,4,334
373628,Serene Suite in a Grand Villa~Exceptional Privacy.,1879455,Joseph,,Saratoga,37.2455,-122.01798,Private room,89,30,41,2020-10-06,0.39,3,131
373730,Spacious Sunny Room in Sweet Home,1880028,Erin,,Palo Alto,37.41588,-122.13424,Private room,90,2,36,2020-02-01,0.35,1,0
383002,Warm Private room w private entry,1229021,Ying & Sherry,,Palo Alto,37.40469,-122.12575,Private room,70,4,20,2019-05-12,0.19,7,365
398319,Room @ the Heart of Silicon Valley,1989424,BJ And AN,,Santa Clara,37.37017,-121.98172,Private room,53,4,47,2020-01-15,0.46,3,22
428323,Quiet room in clean San Jose house,245262,Daniel,,San Jose,37.23969,-121.83491,Private room,200,1,0,,,1,365
441941,First Responders Entire House@ Palo Alto,1229021,Ying & Sherry,,Palo Alto,37.42806,-122.11405,Entire home/apt,400,30,1,2012-09-05,0.01,7,173
464637,"Priv Ent, Studio, prv bath/long term/pets OK",2309083,Robert,,Morgan Hill,37.1342,-121.66997,Private room,65,7,11,2019-11-02,0.14,1,343
480365,A RARE CLASSIC IN DOWNTOWN SAN JOSE,2270348,Ken,,San Jose,37.32066,-121.88505,Entire home/apt,325,3,10,2020-01-25,0.10,7,365
